City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,35.26,80,100,20.71,AR,1698614031
1,san antonio de pale,-1.4014,5.6325,79.83,82,5,9.19,GQ,1698614031
2,adamstown,-25.066,-130.1015,72.21,84,98,14.67,PN,1698614031
3,rouissat,31.9243,5.3502,80.67,17,40,6.91,DZ,1698614031
4,utrik,11.2278,169.8474,82.9,81,35,18.75,MH,1698614031
5,constantia,44.1833,28.65,54.28,64,0,7.7,RO,1698614031
6,polyarnyy,69.1989,33.4478,20.32,92,100,4.74,RU,1698614032
7,avarua,-21.2078,-159.775,75.25,64,75,8.05,CK,1698614032
8,papatowai,-46.5619,169.4708,54.5,54,11,4.27,NZ,1698614032
9,sinabang,2.4803,96.3801,77.76,84,100,2.71,ID,1698614032
10,port elizabeth,-33.918,25.5701,58.32,73,75,5.75,ZA,1698614032
11,waitangi,-43.9535,-176.5597,54.82,71,4,1.99,NZ,1698614033
12,thompson,55.7435,-97.8558,26.71,61,100,8.43,CA,1698613878
13,port mathurin,-19.6833,63.4167,76.26,79,11,15.35,MU,1698614033
14,ponta delgada,37.7333,-25.6667,59.72,77,20,10.36,PT,1698614033
15,port-aux-francais,-49.35,70.2167,34.86,81,100,26.64,TF,1698614033
16,bilibino,68.0546,166.4372,-10.32,92,10,4.97,RU,1698614034
17,veinticinco de mayo,-35.4323,-60.1727,69.98,72,100,7.0,AR,1698614034
18,olonkinbyen,70.9221,-8.7187,32.63,69,100,3.62,SJ,1698614034
19,grytviken,-54.2811,-36.5092,40.6,94,100,6.33,GS,1698614034
20,hermanus,-34.4187,19.2345,56.43,64,0,25.81,ZA,1698614034
21,luderitz,-26.6481,15.1594,70.77,34,0,12.68,NA,1698614034
22,qarauyl,48.9451,79.255,43.92,82,100,8.61,KZ,1698614035
23,gaspe,48.8334,-64.4819,39.11,56,20,8.05,CA,1698614035
24,margaret river,-33.95,115.0667,54.57,63,86,11.83,AU,1698614035
25,lebu,-37.6167,-73.65,50.72,58,70,13.76,CL,1698613801
26,aykhal,66.0,111.5,-14.57,100,41,4.88,RU,1698614035
27,puerto natales,-51.7236,-72.4875,44.67,53,99,12.37,CL,1698614035
28,iskateley,67.6803,53.1512,16.02,86,100,13.0,RU,1698614036
29,narrabri,-30.3167,149.7833,71.53,49,0,7.0,AU,1698614036
30,yujing,23.1249,120.4614,71.02,85,51,2.86,TW,1698614036
31,port lincoln,-34.7333,135.8667,56.62,82,5,13.2,AU,1698614036
32,severo-yeniseyskiy,60.3725,93.0408,4.57,99,93,3.0,RU,1698614037
33,klyuchi,52.2667,79.1667,30.67,92,100,3.62,RU,1698614037
34,edinburgh of the seven seas,-37.0676,-12.3116,52.0,64,88,27.54,SH,1698613844
35,chonchi,-42.6128,-73.8092,42.12,68,49,11.72,CL,1698614037
36,bassar,9.25,0.7833,79.05,58,5,1.54,TG,1698614037
37,luanda,-8.8368,13.2343,78.8,83,75,9.22,AO,1698614038
38,erenhot,43.6475,111.9767,39.94,48,100,8.7,CN,1698614038
39,keflavik,64.0049,-22.5624,39.63,81,0,5.75,IS,1698614038
40,granada,37.25,-3.25,52.3,29,89,5.26,ES,1698614021
41,mata-utu,-13.2816,-176.1745,82.81,75,27,3.69,WF,1698614038
42,beau vallon,-20.4189,57.6953,74.21,79,9,10.31,MU,1698613901
43,musan-up,42.2261,129.2078,41.56,60,12,4.99,KP,1698614039
44,sitka,57.0531,-135.33,46.29,66,75,0.0,US,1698614039
45,pokhara,28.2333,83.9833,61.5,64,0,6.76,NP,1698614039
